*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb mini - GND
*Date=22:05:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
103;;;78.867;-47.2243;0;Bottom;Copper Fill32
104;;;21.3233;-93.6936;0;Bottom;Copper Fill92
105;;;105.715;-67.5443;0;Bottom;Copper Fill160
106;;;145.783;-86.1752;0;Bottom;Copper Fill198
107;10k;THT;69.6381;-19.2398;0;Bottom;D10
108;;;77.893;-58.499;-90;Bottom;TXT1
109;;;50.292;-35.2735;0;Bottom;Via9
110;;;60.2996;-35.4006;0;Bottom;Copper Fill19
111;;;55.1942;-42.1443;0;Bottom;Copper Fill136
112;;;73.8124;-16.7443;0;Bottom;Copper Fill87
113;;;105.093;-63.4168;0;Bottom;Copper Fill168
114;;;6.985;-26.9043;0;Bottom;Copper Fill226
115;;;141.173;-78.6187;0;Bottom;Copper Fill190
116;;;44.1833;-93.6936;0;Bottom;Copper Fill73
117;;;59.4614;-48.4562;0;Bottom;Copper Fill17
118;;;20.4724;-16.7443;0;Bottom;Copper Fill107
119;10k;THT;69.6381;-16.6998;0;Bottom;D9
120;;;119.812;-67.5443;0;Bottom;Copper Fill165
121;;;16.2052;-52.4059;0;Bottom;Copper Fill233
122;;;78.6025;-21.8271;-90;Bottom;TXT1
123;;;51.1302;-29.9142;0;Bottom;Copper Fill130
124;;;6.0833;-27.806;0;Bottom;Copper Fill116
125;;;13.7033;-93.6936;0;Bottom;Copper Fill97
126;;;66.0908;-77.7043;0;Bottom;Copper Fill142
127;;;22.1742;-19.2843;0;Bottom;Copper Fill112
128;;;73.8124;-19.2843;0;Bottom;Copper Fill191
129;;;54.3433;-10.8388;0;Bottom;Copper Fill228
130;10µF;100 mil [THT, electrolytic];21.3781;-43.3698;-90;Bottom;10uF
131;;;59.1566;-72.6243;0;Bottom;Copper Fill50
132;;;20.4724;-19.2843;0;Bottom;Copper Fill214
133;;;75.8952;-29.1775;0;Bottom;Via6
134;10k;THT;26.4581;-19.2398;0;Bottom;D7
135;;;5.1816;-11.6643;0;Bottom;Copper Fill110
136;;;20.4724;-42.1443;0;Bottom;Copper Fill122
137;;;22.1742;-19.2843;0;Bottom;Copper Fill215
138;;;52.5526;-92.8935;0;Bottom;Copper Fill68
139;;;27.6352;-50.9454;0;Bottom;Copper Fill16
140;;;53.2892;-28.1362;0;Bottom;Copper Fill132
141;;;13.7033;-3.2188;0;Bottom;Copper Fill208
142;;;58.3057;-73.4752;0;Bottom;Copper Fill47
143;;;20.4724;-21.8243;0;Bottom;Copper Fill113
144;;;6.8326;-92.9443;0;Bottom;Copper Fill102
145;;;16.256;-67.5062;0;Bottom;Copper Fill3
146;;5 mm [THT];44.2382;-91.0508;0;Bottom;TRANSFER
147;;;33.274;-35.3371;0;Bottom;Copper Fill230
