*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb GND
*Date=02:42:52
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;;33.528;-39.4223;0;Bottom;Copper Fill55
105;;;83.2612;-29.0464;0;Bottom;Copper Fill22
106;;;93.6625;-83.4532;0;Bottom;Copper Fill42
107;;;60.6425;-111.241;0;Bottom;Copper Fill83
108;;;30.1625;-111.241;0;Bottom;Copper Fill106
109;;;73.3425;-91.9114;0;Bottom;Copper Fill200
110;;;75.9206;-69.8388;0;Bottom;Copper Fill8
111;;;102.921;-57.6468;0;Bottom;Copper Fill23
112;;;8.9154;-44.5023;0;Bottom;Copper Fill234
113;;;70.8025;-111.241;0;Bottom;Copper Fill68
114;;;9.8425;-28.3606;0;Bottom;Copper Fill93
115;;;164.681;-70.8548;0;Bottom;Copper Fill220
116;;;19.1516;-19.1023;0;Bottom;Copper Fill81
117;;;20.0025;-18.2514;0;Bottom;Copper Fill80
118;;;97.2312;-33.2628;0;Bottom;Via5
119;;;40.3225;-111.241;0;Bottom;Copper Fill226
120;;;65.405;-45.2262;0;Bottom;Copper Fill12
121;10k;THT;20.0344;-24.122;90;Bottom;10k
122;10k;THT;88.6144;-82.542;0;Bottom;A5
123;;;94.488;-41.9623;0;Bottom;Copper Fill152
124;;;58.1025;-17.4132;0;Bottom;Copper Fill154
125;;;33.528;-69.9023;0;Bottom;Copper Fill53
126;;;8.9154;-29.2623;0;Bottom;Copper Fill94
127;;;33.528;-34.3423;0;Bottom;Copper Fill67
128;;;61.468;-57.2023;0;Bottom;Copper Fill36
129;;;54.4322;-15.3558;0;Bottom;Copper Fill25
130;;;103.53;-41.0352;0;Bottom;Copper Fill145
131;;;46.6344;-60.0852;0;Bottom;Via14
132;;;179.972;-106.313;0;Bottom;Copper Fill240
133;220;THT;20.0344;-95.242;90;Bottom;R3
134;;;55.5625;-56.4276;0;Bottom;Copper Fill38
135;;;32.7025;-42.8132;0;Bottom;Copper Fill172
136;;;88.5825;-108.904;0;Bottom;Copper Fill175
137;;;94.488;-41.9623;0;Bottom;Copper Fill33
138;;;30.8864;-110.492;0;Bottom;Copper Fill108
139;;dip;64.4844;-58.412;0;Bottom;ATMega 328P
140;;;20.7264;-110.492;0;Bottom;Copper Fill113
141;;;134.252;-79.4908;0;Bottom;Copper Fill187
142;;;179.146;-105.462;0;Bottom;Copper Fill242
143;;;119.012;-68.9752;0;Bottom;Copper Fill183
144;;;61.0362;-74.8934;0;Bottom;Copper Fill128
145;;;40.5384;-48.5028;0;Bottom;Via1
146;;;50.4825;-111.241;0;Bottom;Copper Fill96
147;;;75.9206;-41.8988;0;Bottom;Copper Fill16
