*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb mini - GND
*Date=22:19:48
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;10k;THT;69.6381;-52.2598;0;Bottom;A1
103;;;20.4725;-21.8244;0;Bottom;Copper Fill113
104;;;22.1743;-57.3843;0;Bottom;Copper Fill242
105;;;16.764;-52.3424;0;Bottom;Via2
106;;;16.256;-67.5062;0;Bottom;Copper Fill3
107;;;57.4549;-72.6243;0;Bottom;Copper Fill49
108;10k;THT;69.6381;-16.6998;0;Bottom;D9
109;;;73.8125;-24.3644;0;Bottom;Copper Fill172
110;;;73.8125;-57.3843;0;Bottom;Copper Fill150
111;;300 mil [THT];116.603;-62.4198;0;Bottom;diode3
112;10k;THT;69.6381;-26.8598;0;Bottom;D13
113;;;73.8125;-21.8244;0;Bottom;Copper Fill71
114;;;59.4869;-21.7863;0;Bottom;Copper Fill29
115;;;101.388;-80.1976;0;Bottom;releStarter
116;10k;THT;69.6381;-57.3398;0;Bottom;A3
117;;;13.7034;-3.21888;0;Bottom;Copper Fill105
118;;;22.1743;-19.2844;0;Bottom;Copper Fill112
119;;;41.6434;-38.8297;0;Bottom;Copper Fill235
120;;;54.3434;-12.5153;0;Bottom;Copper Fill227
121;;;75.5143;-24.3644;0;Bottom;Copper Fill173
122;;;120.955;-67.5443;0;Bottom;Copper Fill166
123;;;59.4869;-26.8663;0;Bottom;Copper Fill25
124;;;73.8125;-62.4643;0;Bottom;Copper Fill36
125;;;59.4615;-58.6162;0;Bottom;Copper Fill8
126;;;22.1743;-54.8443;0;Bottom;Copper Fill127
127;;;22.1743;-16.7444;0;Bottom;Copper Fill213
128;;;30.1118;-6.19068;0;Bottom;Copper Fill103
129;;;44.9327;-92.9443;0;Bottom;Copper Fill75
130;;;73.8125;-52.3043;0;Bottom;Copper Fill60
131;;;135.623;-68.1412;0;Bottom;Copper Fill179
132;;;59.4234;-40.4045;0;Bottom;Copper Fill137
133;;;64.5034;-89.528;0;Bottom;Copper Fill40
134;;;161.925;-92.9443;0;Bottom;Copper Fill201
135;;;73.8125;-26.9044;0;Bottom;Copper Fill161
136;10k;THT;26.4581;-16.6998;0;Bottom;D8
137;;THT;145.819;-2.90999;90;Bottom;Transfer
138;;;74.6634;-48.9388;0;Bottom;Copper Fill69
139;;;59.4869;-24.3263;0;Bottom;Copper Fill27
140;;;73.8125;-24.3644;0;Bottom;Copper Fill64
141;;;28.9434;-93.6936;0;Bottom;Copper Fill89
142;;;160.122;-92.9443;0;Bottom;Copper Fill96
143;;;5.334;-92.9443;0;Bottom;Copper Fill206
144;;;20.4725;-21.8244;0;Bottom;Copper Fill220
145;;;89.8526;-58.9972;0;Bottom;Copper Fill140
146;;;106.02;-62.4643;0;Bottom;Copper Fill171
147;10k;THT;69.6381;-62.4198;0;Bottom;A5
148;;;41.6434;-38.8297;0;Bottom;Copper Fill126
149;;;49.4539;-24.0215;0;Bottom;Copper Fill22
150;;THT;2.50821;-31.9399;180;Bottom;Sensor corte
151;;;67.9704;-17.5951;0;Bottom;Via5
152;;5 mm [THT];36.6182;-91.0508;0;Bottom;FAN ON
153;;;20.4725;-24.3644;0;Bottom;Copper Fill222
154;;;121.26;-62.4643;0;Bottom;Copper Fill58
155;;;30.1118;-7.18128;0;Bottom;Copper Fill210
156;;;105.143;-68.1412;0;Bottom;Copper Fill157
157;;;50.292;-35.2735;0;Bottom;Via9
158;;;13.7034;-93.6936;0;Bottom;Copper Fill97
159;;;75.5143;-16.7444;0;Bottom;Copper Fill195
160;;;124.562;-6.58438;0;Bottom;Copper Fill85
161;;;105.715;-67.5443;0;Bottom;Copper Fill160
162;;;6.0833;-26.0027;0;Bottom;Copper Fill117
163;;;126.365;-6.58438;0;Bottom;Copper Fill86
164;;5 mm [THT];6.13811;-91.0508;0;Bottom;WAITING
165;;;106.02;-62.4643;0;Bottom;Copper Fill55
166;1µF;200 mil [THT, electrolytic];145.838;-87.8198;-90;Bottom;100uF
167;;;72.1615;-53.5362;0;Bottom;Copper Fill6
168;;;145.783;-86.1752;0;Bottom;Copper Fill198
169;;;73.8125;-59.9243;0;Bottom;Copper Fill147
170;;;125.463;-5.68268;0;Bottom;Copper Fill84
171;;;51.8034;-93.6428;0;Bottom;Copper Fill174
172;10k;THT;26.4581;-54.7998;0;Bottom;D3
173;;;22.0727;-92.9443;0;Bottom;Copper Fill94
174;;;5.334;-92.9443;0;Bottom;Copper Fill101
175;10k;THT;69.6381;-59.8798;0;Bottom;A4
176;;;45.0343;-11.6644;0;Bottom;Copper Fill219
177;;5 mm [THT];44.2382;-91.0508;0;Bottom;TRANSFER
178;;;126.365;-6.58438;0;Bottom;Copper Fill197
179;;THT;159.628;-77.6598;0;Bottom;Contacto + Starter
180;;;90.4749;-67.5443;0;Bottom;Copper Fill146
181;;;78.6025;-21.8271;-90;Bottom;TXT1
182;;THT;159.628;-59.8607;0;Bottom;Ventilador
183;;;27.6353;-50.9454;0;Bottom;Copper Fill16
184;;;104.14;-62.4643;0;Bottom;Copper Fill54
185;;;22.1743;-52.3043;0;Bottom;Copper Fill234
186;;;12.9541;-92.9443;0;Bottom;Copper Fill98
187;220;THT;11.2181;-77.6598;90;Bottom;R3
188;;;37.3127;-92.9443;0;Bottom;Copper Fill82
189;;;22.1743;-19.2844;0;Bottom;Copper Fill215
190;10k;THT;26.4581;-21.7798;0;Bottom;D6
191;;;73.8125;-54.8443;0;Bottom;Copper Fill52
192;;;135.573;-63.4168;0;Bottom;Copper Fill183
193;;;89.3319;-67.5443;0;Bottom;Copper Fill145
194;;;78.8671;-47.2243;0;Bottom;Copper Fill32
195;;;120.333;-63.4168;0;Bottom;Copper Fill175
196;;;55.1943;-42.1444;0;Bottom;Copper Fill136
197;10µF;100 mil [THT, electrolytic];21.3781;-43.3698;-90;Bottom;10uF
198;;;155.753;-66.4902;0;Bottom;Copper Fill5
199;;;83.2104;-49.904;0;Bottom;Via8
200;;;75.5143;-19.2844;0;Bottom;Copper Fill79
201;;;16.764;-50.5136;0;Bottom;Via11
202;;;5.33758;-7.74432;0;Bottom;TXT7
203;;;20.4725;-16.7444;0;Bottom;Copper Fill107
204;10k;THT;26.4581;-59.8798;0;Bottom;D1
205;;;73.8125;-59.9243;0;Bottom;Copper Fill38
206;;;73.8125;-49.7643;0;Bottom;Copper Fill186
207;;;141.122;-97.4528;0;Bottom;Via7
208;;;73.8125;-54.8443;0;Bottom;Copper Fill156
209;;;4.0894;-49.7643;0;Bottom;Copper Fill229
210;;;155.778;-96.9448;0;Bottom;Copper Fill1
211;;;51.1303;-29.9142;0;Bottom;Copper Fill130
212;;;22.1743;-59.9243;0;Bottom;Copper Fill244
213;;;38.7351;-38.2962;0;Bottom;Copper Fill21
214;10k;THT;26.4581;-62.4198;0;Bottom;D0
215;;;60.2997;-35.4007;0;Bottom;Copper Fill19
216;;;6.0833;-12.5661;0;Bottom;Copper Fill109
217;10k;THT;26.4581;-52.2598;0;Bottom;D4
218;;;6.0833;-27.8061;0;Bottom;Copper Fill224
219;;;90.7797;-59.9243;0;Bottom;Copper Fill35
220;;;88.9001;-59.9243;0;Bottom;Copper Fill34
221;;;13.7034;-93.6936;0;Bottom;Copper Fill203
222;;THT;130.598;-2.90996;90;Bottom;Servo
223;;;53.2385;-25.5201;0;Bottom;Copper Fill133
224;;;105.093;-61.5372;0;Bottom;Copper Fill169
225;;;115.303;-2.53308;0;Bottom;Copper Fill202
226;;;119.812;-67.5443;0;Bottom;Copper Fill165
227;10k;THT;69.6381;-54.7998;0;Bottom;A2
228;;THT;158.557;-96.5297;-90;Bottom;Alimentación
229;;;36.5634;-93.6936;0;Bottom;Copper Fill80
230;;;53.4925;-42.1444;0;Bottom;Copper Fill33
231;;;39.1415;-52.2662;0;Bottom;Copper Fill12
232;;;86.1481;-80.1976;0;Bottom;releContacto
233;;;141.173;-78.6187;0;Bottom;Copper Fill190
234;;;66.0909;-77.7043;0;Bottom;Copper Fill142
235;;TO92 [THT];41.5076;-11.5309;0;Bottom;MCP9701 AUX
236;;;134.62;-62.4643;0;Bottom;Copper Fill185
237;;;40.2591;-19.5003;0;Bottom;Copper Fill30
238;;;58.3058;-71.7988;0;Bottom;Copper Fill153
239;;;43.4341;-92.9443;0;Bottom;Copper Fill74
